"Positions","USCNS","USCNF","USDMS","USDMF","USFRS","USFRF","USILS","USILF","USJYS","USJYF","USUKS","USUKF"
1976/2/29 ,.000739371567879,-.00247096740501,-.943270129828,-.941936294157,-1.49552763404,-1.49806562979,-6.63725254212,-6.64209513881,-5.71464548833,,.707789457297,.703592438421
1976/3/31 ,.0106793514648,.0069634700679,-.947900463023,-.946318619588,-1.50209915676,-1.50614052934,-6.6601043746,-6.66490203286,-5.71002120775,,.705075751425,.701859121162
1976/4/30 ,.0157820582067,.0118027121192,-.927900360952,-.926373067216,-1.5430576397,-1.5489799434,-6.73494251016,-6.75910057966,-5.70254320744,,.633397176154,.628608659422
1976/5/31 ,.0198846651157,.0162343926154,-.92960072057,-.928309450707,-1.53892038223,-1.54268020452,-6.80382175186,-6.81961908466,-5.70095284381,,.603495958607,.59856173807
1976/6/30 ,.0216053341258,.0184976372418,-.953492616578,-.951184536427,-1.55617781287,-1.55892805739,-6.74031250769,-6.75522604069,-5.70691236767,,.562183916041,.557327457417
1976/7/31 ,.0315143183836,.0285326060356,-.94711320484,-.945125554656,-1.55664309416,-1.5592543729,-6.73223002711,-6.74399457607,-5.69122020202,,.581656804527,.575207882695
1976/8/31 ,.0229050024836,.0192116855712,-.931549732336,-.930377833856,-1.59166844192,-1.59594870314,-6.72716551782,-6.7366858352,-5.6801144046,,.581377279717,.574532549224
1976/9/30 ,.0236579367844,.0200579790446,-.924705928799,-.924484025342,-1.59468168554,-1.59859924386,-6.73373718103,-6.75577717829,-5.66647542224,,.573800422927,.566733255704
1976/10/31 ,.0294899010802,.0262527343842,-.893872343736,-.893760086154,-1.60071211613,-1.60683129743,-6.77122358408,-6.79759386945,-5.65947595273,,.51222464468,.501865602394
1976/11/30 ,.0287651664031,.0255470643758,-.880366407005,-.879213314091,-1.60817687822,-1.61358002446,-6.75523108499,-6.77294593091,-5.6898228571,,.461845441544,.448524597569
1976/12/31 ,-.0339917460446,-.0381225437146,-.88265870242,-.884209016915,-1.60919735434,-1.61579290432,-6.76446939579,-6.7827742688,-5.69391231698,,.508623200211,.498955451196
1977/1/31 ,-.0101149750055,-.0135093344387,-.857786737061,-.859030995425,-1.6004062404,-1.60664253785,-6.77288819506,-6.79820870609,-5.68097834436,,.531627751395,.520993752682
1977/2/28 ,-.0224858133321,-.0255160262232,-.882489707969,-.882541075088,-1.60476227563,-1.61002393746,-6.78243663317,-6.79961721068,-5.66312243657,,.539413080618,.532097759042
1977/3/31 ,-.0464669596077,-.0495874617925,-.872448911378,-.872439862649,-1.60534433947,-1.61090612588,-6.78595191702,-6.79692713794,-5.644579369,,.538538062333,.531510214959
1977/4/30 ,-.0501877110798,-.0521392564281,-.872605283239,-.872565638353,-1.60419008698,-1.60809340308,-6.78837166095,-6.79819000452,-5.62128125314,,.54203355089,.538421335357
1977/5/31 ,-.0445832304094,-.0470286464752,-.856995477279,-.856066082524,-1.6001720414,-1.60496833749,-6.78733006079,-6.79631358449,-5.62751902685,,.54209170564,.539646289574
1977/6/30 ,-.0521216804628,-.0534978196652,-.858533469516,-.857600805582,-1.5977384517,-1.60210327489,-6.78623963883,-6.79672736492,-5.62548294,,.54203355089,.536785725436
1977/7/31 ,-.0577267938431,-.0587988644095,-.850937831074,-.849963092761,-1.59343663324,-1.59676645437,-6.78524396434,-6.79293328993,-5.59227404895,,.542208004995,.539762873661
1977/8/31 ,-.0682253233816,-.0693499917193,-.832098174081,-.829813417068,-1.58579780136,-1.592266318,-6.78187257694,-6.79147258631,-5.5872646068,,.552619945423,.551468402228
1977/9/30 ,-.071106612926,-.0719974264473,-.840419609102,-.838456448657,-1.5896954337,-1.59255682012,-6.78254430539,-6.79148209982,-5.59165836689,,.555206079447,.554689387412
1977/10/31 ,-.0743886191078,-.0746848585272,-.829543364887,-.825562857417,-1.58207215902,-1.583676828,-6.78060637772,-6.78779373282,-5.56443334074,,.562981545983,.564006136237
1977/11/30 ,-.0990755502688,-.0996321746466,-.806611468281,-.804411996506,-1.56931633254,-1.57164439908,-6.77666192089,-6.78277259258,-5.50972977801,,.611665938692,.613562701217
1977/12/31 ,-.102909095224,-.102909095224,-.795062980445,-.793197888204,-1.57876597369,-1.5846490091,-6.77685355602,-6.78403996408,-5.49384795165,,.597461930426,.597461930426
1978/1/31 ,-.0899846952957,-.0900009417812,-.741763446807,-.737664690021,-1.54479505617,-1.54914892287,-6.76951799532,-6.77720664289,-5.47937747773,,.650761464064,.651126551297
1978/2/28 ,-.102585305736,-.104862751736,-.749399929655,-.746308086534,-1.56241677538,-1.56742133883,-6.76512806036,-6.77184646195,-5.48885925628,,.667059845797,.667419031987
1978/3/31 ,-.110221073775,-.110609061204,-.700467575416,-.697561403304,-1.55296167339,-1.55847855002,-6.74519085461,-6.75125442181,-5.47529684619,,.662430207898,.66181130025
1978/4/30 ,-.132661099683,-.133638407446,-.697553944719,-.693789097775,-1.51754800103,-1.51829284785,-6.74425967922,-6.75105515488,-5.38884681624,,.624868339807,.625296513652
1978/5/31 ,-.12157166522,-.12195089816,-.727003181412,-.723503643041,-1.52597312217,-1.52724677983,-6.76208633727,-6.76707510694,-5.41089419782,,.604042705477,.601579987034
1978/6/30 ,-.112751693569,-.113446224046,-.739156900025,-.735503926533,-1.52434093504,-1.52655702478,-6.76182874074,-6.76596165263,-5.40148549985,,.602401567253,.600483495697
1978/7/31 ,-.116145521334,-.115454328827,-.72477036899,-.720350287545,-1.50005324648,-1.50156933383,-6.74657414233,-6.74898668873,-5.31161543485,-5.30629661231,.624600638025,.622188091619
1978/8/31 ,-.129306080004,-.12952530323,-.713946492437,-.70975491696,-1.47286237743,-1.47325806344,-6.73437134788,-6.73778689646,-5.22874978773,-5.2219194932,.655964389432,.653782457038
