x,y
4.143229243,13.8608979
0.580120993,2.073112006
4.816318555,14.81328626
3.792296503,11.74087407
2.627538661,9.288157304
1.257393755,5.755069539
3.23368272,10.40945062
3.143014796,9.907889683
4.223852067,13.29031929
3.959023377,13.08194013
3.842226377,12.23687447
0.984189429,4.548562238
1.054455727,3.557929297
1.755892615,5.616988809
0.424687889,1.98315339
1.700446764,5.394001612
3.438119461,10.63455363
4.585441714,14.68637821
2.042291187,7.366178902
3.835223875,12.37541093
4.383143086,15.25377868
3.739609185,12.21761981
4.450964627,13.73119377
0.163202208,1.040614237
1.693603093,5.440583485
3.68698163,11.87330899
3.694991954,11.59111329
4.238314753,14.04669785
4.877490337,14.84020899
0.708005523,2.644581187
0.311062333,3.078124677
1.990907675,7.665226518
2.171269894,8.407750504
1.473136833,5.439761983
0.541279649,2.93563309
0.388356231,1.825289873
3.395288692,10.62009548
4.619829822,14.72594037
3.024084867,10.7668869
2.35544779,7.999182668
