id,Predicted
1,12.159744
2,12.302982
3,10.563414
4,11.254578
5,6.2872767
6,18.276794
7,12.638811
8,8.67223
9,17.519468
10,5.357014
11,0.33085972
12,20.40105
13,11.814211
14,6.609849
15,21.609896
16,1.6304748
17,18.947172
18,13.502765
19,25.121943
20,12.093409
21,12.939299
22,16.637924
23,15.814859
24,15.025595
25,17.541845
26,7.6624107
27,8.923106
28,19.386074
29,12.557766
30,7.82712
31,12.492371
32,22.860144
33,17.24554
34,19.805655
35,8.018297
36,5.662877
37,8.087828
38,19.779242
39,12.74009
40,20.746096
41,16.674849
42,15.903876
43,6.0782237
44,8.200717
45,18.496029
46,16.838047
47,4.123075
48,14.34632
49,14.859879
50,10.280222
51,10.127001
52,3.9501357
53,8.140812
54,19.281616
55,14.56325
56,9.088314
57,14.445592
58,15.441856
59,7.3803678
60,5.46276
61,7.3132844
62,14.511404
63,-2.5118039
64,10.823637
65,26.837639
66,14.842466
67,19.202084
68,2.2643695
69,11.116079
70,15.672384
71,10.799481
72,-0.18773335
73,8.442952
74,5.761345
75,0.44470328
76,11.5396805
77,14.251037
78,9.101477
79,20.814425
80,19.238367
81,2.7262182
82,18.203884
83,10.150715
84,13.132597
85,19.598598
86,10.443596
87,1.949538
88,6.4803634
89,12.660032
90,13.572613
91,17.06528
92,12.54269
93,11.779883
94,21.687214
95,8.89587
96,6.5374093
97,10.100491
98,8.845361
99,17.481964
100,18.00169
101,2.9297104
102,14.894039
103,19.842695
104,9.81336
105,9.209805
106,15.379613
107,16.910803
108,13.871409
109,18.168488
110,8.713413
111,16.39393
112,11.307482
113,22.850357
114,14.998983
115,5.347601
116,11.060497
117,11.85767
118,18.532661
119,10.7173
120,11.575869
121,18.730259
122,15.017289
123,14.474798
124,12.569557
125,12.559679
126,18.888186
127,11.77894
128,14.497597
129,15.989999
130,19.874273
131,16.954826
132,9.123993
133,6.5921407
134,13.119665
135,14.130068
136,20.63838
137,22.97212
138,11.28705
139,5.0560155
140,10.674035
141,8.951781
142,11.80085
143,3.464962
144,12.798494
145,16.79551
146,9.201151
147,12.76697
148,4.1729097
149,-1.4027476
150,9.794355
151,4.808779
152,12.44556
153,18.337471
154,7.4653583
155,2.7758656
156,18.660847
157,8.441566
158,6.6130786
159,6.4951572
160,10.276976
161,21.620264
162,14.794753
163,19.539194
164,18.694744
165,6.8970103
166,10.069941
167,3.7546446
168,13.928946
169,8.612509
170,14.994459
171,4.145984
172,6.9093833
173,14.423571
174,-0.83544505
175,6.1577
176,13.163202
177,15.358566
178,18.237976
179,5.770833
180,17.191048
181,5.288738
182,15.01149
183,17.740173
184,17.006168
185,11.250629
186,7.0086417
187,-4.354227
188,12.136326
189,8.351366
190,8.276695
191,18.075974
192,16.08725
193,14.60409
194,17.263563
195,12.425276
196,10.887603
197,0.58910865
198,26.512733
199,-0.38442272
200,20.86129
201,20.476612
202,8.133076
203,11.996343
204,13.653561
205,27.781883
206,14.182452
207,10.057337
208,19.574171
209,16.263233
210,1.5978303
211,12.271934
212,16.735004
213,8.860205
214,9.391299
215,16.689518
216,13.438759
217,10.207452
218,7.448856
219,18.805586
220,9.466883
221,15.351007
222,16.41811
223,15.78656
224,15.517207
225,16.930407
226,11.725639
227,11.952897
228,21.591038
229,27.77766
230,3.8473892
231,9.078417
232,2.8471022
233,6.522675
234,16.624552
235,20.334717
236,7.078943
237,20.878153
238,19.661186
239,10.290808
240,10.238591
241,17.175718
242,21.851345
243,-2.1109154
244,10.2076235
245,19.424406
246,17.947147
247,3.8309743
248,24.746655
249,1.7926335
250,6.2356415
251,5.2127094
252,17.950983
253,15.1037655
254,14.2575
255,7.988872
256,14.855252
257,7.338474
258,6.384955
259,24.70998
260,18.734825
261,10.51913
262,21.686974
263,-2.402877
264,10.870137
265,11.537157
266,14.560831
267,13.377654
268,14.916727
