f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,target
14.55757089,11.84601965,15.02020704,2.623484027,15.53851694,2.341610561,5.829028218,7.586709457,13.33195251,8.304781765,-8.98042423,-1.978135119,-9.056215042,0.601957577,-3.990212115,F,F,A,-8.435632262,B
17.03188416,4.314536223,19.69483814,15.26418647,7.054584611,0.382332923,4.650884574,11.33148097,12.49232869,12.87722057,-1.788222048,-12.52062467,1.18356434,2.312427851,-5.997315793,F,A,F,13.31450386,G
24.98627207,6.139160846,21.94996297,5.59012348,16.44521171,2.213986029,2.393948122,16.885378,8.114115698,20.13320757,12.1485526,-11.40021344,15.27379904,2.71485526,6.574276298,A,C,F,8.964849222,G
7.584970742,11.59816134,9.793108682,11.87302002,6.645072922,3.346881955,4.4450082,13.21835977,8.495786221,17.40369282,-3.371434484,-1.329930936,4.307364145,1.217894024,-1.730329844,D,D,B,13.56361239,H
11.62507854,12.51799827,15.52210827,18.26974969,1.508770513,3.078032945,5.224332739,18.33519839,9.604703637,19.73270693,3.192207476,2.195230488,10.90396347,2.317327244,1.379397906,B,C,B,-8.590211371,F
21.48410791,4.213744848,19.91972931,14.7564087,8.518681705,3.874976969,5.942474913,15.77039783,4.946597401,19.20511461,-4.980463677,-6.771585195,6.738429068,1.863519316,-4.399943084,F,D,E,4.511962663,D
9.049710726,15.40553056,13.39559268,9.089864835,11.52791393,1.550836205,4.116666326,14.87084763,11.75519613,15.37193796,-6.213391077,-11.56543049,0.642424401,1.028590937,-6.705610474,F,B,E,2.991599222,C
10.47752986,12.89130496,15.93412817,10.71151588,9.650559539,2.883809239,4.540343164,8.6000118,10.63542162,8.592960853,0.54434736,2.792537025,6.792537025,1.237847479,0.966310601,B,E,A,11.21946255,J
8.317303298,11.60439308,9.721468542,15.2881486,2.679381302,2.539764053,3.425403093,22.1775884,7.57575152,19.83473902,2.031078462,0.834300436,7.507738806,1.751289801,0.522061464,C,E,C,-3.140786728,F
11.44978786,14.26572192,13.63661334,15.4912235,2.805521264,2.839936881,5.989906211,11.48848397,11.31828515,15.62815075,8.955611859,-0.854792962,0.482388395,0.583543202,1.549405897,B,B,C,10.84138971,J
11.52533079,14.82875683,17.40736321,13.53425714,7.085709744,0.079708467,3.663184776,18.35328705,8.593773312,19.54857466,-4.074968297,-2.965286457,7.467467215,1.744577869,-2.587611431,E,D,A,0.454187117,D
22.01769133,5.944773084,21.12543972,3.588062154,15.976848,0.506136241,4.144623415,31.37197327,8.637684484,19.12088225,8.98598198,-2.069641403,5.949988462,2.398598198,4.99299099,C,B,F,-1.479167335,E
21.28535933,4.396144573,19.40315255,14.62937544,6.588723629,2.056971514,1.378332439,6.959055142,11.46993093,9.082030289,1.023774881,9.693237819,13.69323782,1.441073098,3.961459478,A,C,C,3.088505582,J
9.486770249,11.1193986,9.734833033,17.5410054,2.098986264,2.80481443,1.302349281,8.392401906,13.77368239,9.928395869,3.347228586,-0.997811828,3.002188172,0.504847835,0.087718885,C,B,C,4.276409761,I
13.225114,11.7546993,13.62194775,4.912471857,17.12761928,2.003138692,3.861947681,19.30027459,6.763309106,21.20712075,-2.72772828,-5.111639775,13.18134707,2.696891179,-0.86386414,A,C,D,-3.822135081,B
9.857307541,10.76278821,7.010282137,13.51038239,12.00918629,2.993218659,2.546706819,21.93715089,7.291211372,21.74356775,1.268707752,11.39992348,9.614462393,2.102410399,4.733811723,A,C,F,-10.40234008,F
7.341827486,10.38394474,6.809489479,10.07967076,15.01212593,3.048244638,3.394435061,15.252777,6.406864396,20.79925777,-6.559620154,-2.737648211,12.77867385,2.629778975,-3.113925126,A,C,B,12.2212585,E
22.88687474,8.665039689,20.64410358,1.286962072,15.47956799,0.759861331,5.311525335,18.37528662,9.501450084,21.08806218,2.355497324,-5.809727655,6.984140956,1.735549732,1.677748662,B,B,F,11.244292,E
7.960717573,12.33810543,9.673956186,5.436862068,12.51333755,2.349816162,1.692611811,9.736718003,12.79353557,12.81390479,-8.500547307,6.570760213,1.056152912,0.676025485,0.279346595,C,B,F,-0.84590439,E
